gauge	istat	jstat
28109	379	920
28112	409	908
28113	446	896
28115	457	887
28116	467	880
28117	433	895
28118	465	880
28871	449	915
28872	456	912
28873	468	878
29001	525	849
29002	542	872
29003	534	863
29005	504	860
29009	503	863
30001	484	904
30002	507	874
30003	525	888
30004	540	883
30005	493	918
30011	525	870
30012	513	877
30013	504	881
30014	512	919
30015	493	921
30017	493	927
30018	494	907
30033	493	896
30803	532	887
30811	525	888
30812	493	918
30813	493	918
31001	487	957
31004	509	943
31005	497	950
31006	503	940
31007	495	951
31008	507	933
31009	509	939
31010	496	948
31011	499	924
31013	504	923
31014	504	930
31015	485	947
31016	496	941
31017	476	958
31018	476	960
31020	494	949
31021	481	959
31022	475	964
31025	487	945
31027	512	930
31028	495	943
31804	509	943
31810	511	936
31811	512	940
31812	509	943
31813	509	943
31814	509	943
32001	517	953
32003	500	970
32004	490	979
32006	472	991
32007	475	989
32008	464	989
32009	498	954
32010	508	951
32012	475	993
32013	488	987
32018	486	968
32019	488	974
32020	509	950
32023	488	988
32024	502	959
32026	474	979
32027	513	956
32029	466	990
32031	473	993
32804	490	979
32810	472	991
32811	472	991
32812	475	989
32813	475	989
32814	476	991
33001	537	979
33002	505	1001
33003	551	986
33004	566	975
33005	473	1016
33006	578	954
33007	574	938
33008	587	967
33009	495	994
33011	590	970
33012	515	986
33013	590	972
33014	577	978
33015	489	1011
33016	545	992
33017	532	979
33018	473	1003
33019	589	967
33020	522	979
33021	542	999
33022	516	1000
33024	547	1000
33025	571	925
33026	522	984
33027	533	1003
33028	514	1011
33029	573	949
33030	494	1024
33031	490	1010
33032	568	912
33033	519	1014
33034	586	966
33035	559	951
33037	488	1006
33039	516	997
33044	597	965
33045	603	963
33046	601	957
33048	594	960
33049	585	955
33050	564	980
33051	551	1008
33053	549	999
33054	570	925
33055	552	1000
33056	553	989
33057	492	1027
33058	489	1018
33059	574	977
33060	520	953
33063	596	970
33064	536	1004
33065	519	1022
33066	559	1005
33067	561	980
33070	585	984
33372	539	996
33809	528	968
33810	488	1006
34001	619	943
34002	623	951
34003	619	921
34004	617	937
34005	617	939
34006	623	970
34007	617	974
34008	634	924
34010	617	972
34011	592	921
34012	585	908
34013	637	959
34014	602	931
34016	605	910
34018	595	910
34019	627	931
34020	593	915
34021	631	914
34022	637	959
