Day,Inun
3593,571
3595,218
3596,1406
3597,1554
3608,286
3617,230
3618,495
3619,428
3622,270
3624,252
3640,288
3641,598
3642,386
3647,241
3648,287
3659,329
3660,805
3661,782
3662,419
3672,200
3674,425
3676,814
3677,2311
3678,1524
3679,1120
3680,1332
3681,212
3683,1689
3684,6161
3685,1947
3686,821
3687,1562
3688,2043
3689,373
3691,3840
3692,5967
3693,3155
3694,1034
3695,308
3702,330
3729,213
3735,1662
3736,4000
3737,3085
3738,1053
3741,511
3748,241
3749,332
3759,306
3760,1914
3761,208
3762,858
3774,563
3782,269
3783,609
3785,382
3802,226
3949,555
3954,530
3972,686
3986,396
3987,1809
3988,2002
3989,1483
3990,358
3993,838
3994,617
3997,1043
3998,1306
3999,868
4005,795
4008,288
4035,267
4036,422
4037,2853
4038,5240
4039,4286
4040,793
4048,1026
4049,2579
4050,2930
4051,656
4052,597
4053,1533
4054,2586
4055,3188
4056,3123
4057,1472
4058,458
4100,892
4101,1428
4102,469
4114,267
4119,427
4138,1313
4139,2103
4140,1204
4141,501
4198,364
4250,433
4268,245
4291,444
4292,819
4295,200
4313,589
4314,2200
4315,948
4316,481
4317,616
4318,246
4324,1122
4325,706
4341,592
4342,364
4346,204
4348,217
4349,547
4354,423
4363,511
4377,655
4378,1605
4379,307
4380,818
4381,1211
4382,1918
4383,5852
4384,9295
4385,7641
4386,3206
4387,834
4388,540
4389,2248
4390,995
4391,355
4395,532
4396,1070
4397,1240
4400,766
4401,279
4423,717
4424,777
4426,543
4427,3100
4428,2907
4429,3704
4430,3028
4431,987
4432,449
4433,732
4434,1262
4435,2176
4436,2282
4437,2465
4438,783
4439,320
4440,453
4449,374
4450,506
4451,441
4502,871
4505,211
4512,514
4513,841
4547,674
4548,475
4549,263
4550,972
4551,817
4560,200
4575,761
4576,632
4669,1049
4670,1750
4671,1702
4672,615
4673,217
4687,720
4688,1298
4689,298
4692,1988
4693,3150
4694,2237
4695,1571
4696,1283
4697,924
4698,3411
4699,4988
4700,2908
4701,1233
4702,522
4730,1903
4731,4018
4732,1666
4733,830
4734,436
4750,272
4751,451
4755,724
4756,2127
4757,756
4759,602
4760,3434
4761,1922
4762,1656
4763,2030
4764,967
4765,2691
4766,6578
4767,3073
4768,2048
4769,1335
4770,1553
4771,1466
4772,646
4773,284
4777,428
4778,933
4779,582
4780,558
4781,621
4782,3020
4783,5340
4784,5456
4785,3962
4786,2195
4787,2340
4788,3222
4789,1882
4790,1651
4791,2268
4792,1333
4793,470
4794,332
4801,230
4812,212
4813,638
4834,398
4835,1786
4836,1168
4837,810
4838,410
4839,299
4840,235
4842,235
4844,240
4845,1400
4846,373
4851,730
4860,739
4861,311
4869,283
4872,278
4895,695
4896,466
4897,288
4898,209
5035,551
5036,2789
5037,1274
5038,386
5050,477
5051,395
5081,1113
5082,1931
5087,980
5091,865
5092,678
5093,242
5095,842
5096,2413
5097,1013
5100,211
5101,348
5102,612
5119,1130
5120,2632
5121,1038
5122,3268
5123,4560
5124,4254
5125,913
5138,691
5139,3491
5140,4513
5141,4613
5142,3208
5143,1228
5144,220
5152,384
5161,301
5162,390
5163,1710
5164,1431
5165,4039
5166,3052
5167,1647
5168,2858
5169,4973
5170,5480
5171,8218
5172,7700
5173,4603
5174,4575
5175,4884
5176,2891
5177,1329
5178,1065
5179,551
5180,1515
5181,422
5186,580
5187,606
5188,504
5189,1163
5190,867
5191,1104
5192,630
5193,572
5194,501
5195,510
5196,1589
5197,1616
5198,865
5199,742
5200,400
5202,377
5203,242
5205,569
5206,376
5207,247
5210,225
5213,421
5393,449
5394,1684
5395,1181
5396,1192
5397,1210
5398,1186
5399,502
5422,231
5439,376
5441,1595
5442,2359
5443,1435
5462,432
5463,1086
5464,236
5470,392
5471,464
5474,339
5475,455
5497,546
5498,1662
5499,4234
5500,3819
5501,1681
5502,719
5503,361
5515,205
5516,820
5517,2632
5518,695
5519,294
5520,351
5521,581
5522,497
5549,334
5550,893
5551,1277
5552,607
5750,207
5751,410
5794,265
5809,507
5810,589
5811,274
5815,596
5816,1678
5817,1582
5818,837
5819,2172
5820,289
5832,310
5833,1133
5838,335
5843,208
5844,423
5845,506
5846,634
5847,333
5851,448
5852,556
5853,473
5862,1847
5863,1911
5864,878
5909,306
5914,516
5917,594
5922,1071
5923,1900
5924,1485
5925,3625
5926,4273
5927,2458
5928,1309
5929,378
5930,280
5934,843
5935,2373
5936,1027
6051,862
6052,934
6053,691
6054,332
6055,486
6056,1252
6057,508
6092,345
6195,313
6196,1617
6197,724
6198,781
6199,769
6200,202
6205,464
6206,965
6207,989
6214,407
6218,996
6219,869
6227,1549
6228,1600
6229,296
6234,614
6237,295
6240,359
